Date,AAPL,ADBE,AMD,AMZN,AVGO,CRM,CSCO,GOOG,IBM,INTC,META,MSFT,NFLX,NVDA,ORCL,QCOM,TSLA,TXN
2017-11-27,40.85630416870117,185.0,11.550000190734863,59.791500091552734,22.510276794433594,105.82173156738281,29.380489349365234,52.46201705932617,103.73353576660156,37.34917068481445,182.17144775390625,77.40876770019531,195.0500030517578,5.29514741897583,43.52348709106445,55.47089767456055,21.12066650390625,80.08695220947266
2017-11-28,40.61692428588867,185.39999389648438,11.170000076293945,59.68000030517578,21.939258575439453,105.70259094238281,30.065793991088867,52.123619079589844,104.06796264648438,37.5506591796875,181.5642852783203,78.34097290039062,199.17999267578125,5.210331439971924,43.63923263549805,56.135860443115234,21.170000076293945,80.77716827392578
2017-11-29,39.7744026184082,176.85000610351562,10.829999923706055,58.063499450683594,21.47262954711914,102.7934341430664,29.866586685180664,50.842185974121094,104.80512237548828,36.89585494995117,174.30850219726562,76.91960144042969,188.14999389648438,4.8569769859313965,43.202945709228516,54.60890579223633,20.502666473388672,78.66596984863281
2017-11-30,40.330604553222656,181.47000122070312,10.890000343322754,58.837501525878906,21.98196792602539,103.57781219482422,29.72314453125,50.82974624633789,105.09178924560547,37.64298629760742,176.348876953125,77.68566131591797,187.5800018310547,4.963057994842529,43.68376541137695,54.461143493652344,20.59000015258789,78.99890899658203
2017-12-01,40.142852783203125,179.52000427246094,10.729999542236328,58.11750030517578,21.477380752563477,103.09130859375,29.962202072143555,50.2703971862793,105.63101196289062,37.5086784362793,174.2786407470703,77.76874542236328,186.82000732421875,4.8881330490112305,44.17348098754883,53.76334762573242,20.435333251953125,78.90957641601562
2017-12-04,39.8494873046875,168.44000244140625,10.029999732971191,56.6974983215332,20.848621368408203,99.13961029052734,30.057830810546875,49.698604583740234,106.79134368896484,37.34917068481445,170.66566467285156,74.83372497558594,184.0399932861328,4.615635395050049,43.09608840942383,52.99987030029297,20.34666633605957,77.92708587646484
2017-12-05,39.811954498291016,167.5399932861328,9.90999984741211,57.07849884033203,20.6936092376709,99.97364807128906,29.731117248535156,50.02057647705078,106.03368377685547,36.46770477294922,172.019287109375,75.30445098876953,184.2100067138672,4.642341613769531,42.731014251708984,53.10660934448242,20.246667861938477,78.68222045898438
2017-12-06,39.66409683227539,173.52000427246094,10.0,57.61750030517578,20.870765686035156,102.18777465820312,29.8107967376709,50.678958892822266,105.18051147460938,36.476097106933594,175.23411560058594,76.40275573730469,185.3000030517578,4.67992639541626,43.113895416259766,53.34467697143555,20.884000778198242,78.77964782714844
2017-12-07,39.736846923828125,174.61000061035156,10.039999961853027,57.989498138427734,20.870765686035156,103.32958984375,29.802837371826172,51.30350112915039,104.81876373291016,36.165489196777344,179.29498291015625,76.13508605957031,185.1999969482422,4.747434139251709,43.202945709228516,53.54991149902344,20.749332427978516,79.39678955078125
2017-12-08,39.74858856201172,173.57000732421875,9.9399995803833,58.099998474121094,20.555992126464844,102.7040786743164,29.97018051147461,51.608062744140625,105.66510772705078,36.392147064208984,178.1603240966797,77.67643737792969,188.5399932861328,4.735069751739502,44.16457748413086,52.737178802490234,21.0086669921875,79.59165954589844
2017-12-11,40.523048400878906,174.30999755859375,10.15999984741211,58.44599914550781,20.55915069580078,103.79624938964844,30.24907684326172,51.80960464477539,106.07464599609375,36.65238571166992,178.20013427734375,78.66400146484375,186.22000122070312,4.813455581665039,44.939239501953125,53.50886535644531,21.92733383178711,80.24937438964844
2017-12-12,40.2953987121582,172.5399932861328,9.899999618530273,58.25400161743164,20.460296630859375,102.93244171142578,30.209239959716797,51.778751373291016,106.98246002197266,36.375362396240234,176.12989807128906,78.98703002929688,185.72999572753906,4.718997478485107,44.86801528930664,53.24616241455078,22.735332489013672,79.92459106445312
2017-12-13,40.429168701171875,176.8300018310547,10.109999656677246,58.20650100708008,20.723657608032227,103.20052337646484,30.400480270385742,51.785221099853516,105.05085754394531,36.383750915527344,177.463623046875,78.77474975585938,187.86000061035156,4.603766918182373,44.56527328491211,53.27899169921875,22.601999282836914,80.27372741699219
2017-12-14,40.41743850708008,175.0,10.130000114440918,58.7130012512207,20.510908126831055,103.49838256835938,30.20126724243164,52.210208892822266,105.1123046875,36.31660079956055,177.55319213867188,78.16561126708984,189.55999755859375,4.610937118530273,44.68992614746094,53.11480712890625,22.525999069213867,81.40239715576172
2017-12-15,40.8281364440918,177.50999450683594,10.289999961853027,58.957000732421875,21.01628875732422,104.72956848144531,30.43235969543457,52.95866012573242,104.08845520019531,37.4079475402832,179.3347930908203,80.1592025756836,190.1199951171875,4.7368011474609375,43.007049560546875,53.1640739440918,22.89666748046875,82.19002532958984
2017-12-18,41.403114318847656,176.74000549316406,10.979999542236328,59.52899932861328,21.048931121826172,104.33241271972656,30.663450241088867,53.603111267089844,104.65499114990234,38.83507537841797,179.9718017578125,79.72538757324219,190.4199981689453,4.893572807312012,42.481693267822266,53.67305374145508,22.591333389282227,83.8546142578125
2017-12-19,40.9619026184082,174.97000122070312,10.949999809265137,59.36899948120117,20.994003295898438,103.51824951171875,30.520015716552734,53.28163528442383,104.58672332763672,39.48989486694336,178.6679229736328,79.2177734375,187.02000427246094,4.849309921264648,42.579647064208984,52.95062255859375,22.073333740234375,84.52857971191406
2017-12-20,40.917320251464844,174.25,10.979999542236328,58.88100051879883,21.14844512939453,102.65443420410156,30.870647430419922,52.99648666381836,104.39559936523438,39.92642593383789,177.05552673339844,78.9316635131836,188.82000732421875,4.866371154785156,42.65087890625,53.03272247314453,21.93199920654297,85.09698486328125
2017-12-21,41.07221221923828,174.55999755859375,10.890000343322754,58.737998962402344,20.82123565673828,102.8827896118164,30.70329475402832,52.93079376220703,103.40591430664062,39.254825592041016,176.6175994873047,78.91320037841797,188.6199951171875,4.843869686126709,42.098819732666016,52.86030960083008,22.110666275024414,84.50421142578125
2017-12-22,41.07221221923828,175.0,10.539999961853027,58.417999267578125,20.886524200439453,101.89984130859375,30.719228744506836,52.75612258911133,104.08845520019531,39.2044677734375,176.36875915527344,78.92241668701172,189.94000244140625,4.828540325164795,42.1700553894043,53.139434814453125,21.68000030517578,84.55291748046875
2017-12-26,40.030216217041016,174.44000244140625,10.460000038146973,58.8380012512207,20.548166275024414,101.81047821044922,30.663450241088867,52.587921142578125,104.31369018554688,38.68396759033203,175.16444396972656,78.82090759277344,187.75999450683594,4.882198810577393,42.23237609863281,52.78643798828125,21.152666091918945,84.56915283203125
2017-12-27,40.03725051879883,175.36000061035156,10.529999732971191,59.112998962402344,20.629369735717773,101.9197006225586,30.727201461791992,52.22115707397461,104.5184555053711,38.70915603637695,176.78680419921875,79.10699462890625,186.24000549316406,4.875522613525391,42.187870025634766,52.983463287353516,20.775999069213867,84.87773132324219
2017-12-28,40.149898529052734,175.5500030517578,10.550000190734863,59.30500030517578,20.732868194580078,102.05870819091797,30.7510986328125,52.15994644165039,105.13957977294922,38.801513671875,177.0854034423828,79.11624145507812,192.7100067138672,4.881209850311279,42.312522888183594,52.852108001708984,21.02400016784668,85.11322021484375
2017-12-29,39.71572494506836,175.24000549316406,10.279999732971191,58.4734992980957,20.452632904052734,101.50269317626953,30.520015716552734,52.07335662841797,104.71639251708984,38.751136779785156,175.63223266601562,78.95011138916016,191.9600067138672,4.784773349761963,42.098819732666016,52.55656814575195,20.75666618347168,84.8046646118164
2018-01-02,40.42683410644531,177.6999969482422,10.979999542236328,59.45050048828125,21.25751304626465,103.66718292236328,30.966266632080078,52.99897003173828,105.28292083740234,39.330387115478516,180.56895446777344,79.3285140991211,201.07000732421875,4.929427623748779,41.520057678222656,53.525272369384766,21.368667602539062,85.72220611572266
2018-01-03,40.41978454589844,181.0399932861328,11.550000190734863,60.209999084472656,21.489990234375,104.54090881347656,31.213293075561523,53.86885070800781,108.17694091796875,37.99559020996094,183.8037109375,79.69770812988281,205.0500030517578,5.253849983215332,42.481693267822266,54.13277816772461,21.149999618530273,88.04451751708984
2018-01-04,40.60753631591797,183.22000122070312,12.119999885559082,60.47949981689453,21.497159957885742,105.9210205078125,31.30159568786621,54.063926696777344,110.36788177490234,37.298805236816406,183.46533203125,80.3991470336914,205.6300048828125,5.281547546386719,42.90018844604492,54.206661224365234,20.974666595458984,87.93083953857422
2018-01-05,41.069862365722656,185.33999633789062,11.880000114440918,61.457000732421875,21.62453842163086,107.33091735839844,31.735111236572266,54.85169219970703,110.90708923339844,37.55904769897461,185.97349548339844,81.3959732055664,209.99000549316406,5.326303482055664,43.15840530395508,54.567867279052734,21.10533332824707,88.60478210449219
